transitions,probability,time
175605,5.1109543834393304e-11,34.43695855140686
184498,3.949680538547833e-10,51.794203996658325
193368,3.9613331121571677e-10,70.10726833343506
202238,1.0509609975054429e-09,89.12132859230042
211117,1.5263878725175366e-09,110.47689366340637
219997,1.5301422057968217e-09,131.64453434944153
228893,1.6607163376380673e-09,154.55693650245667
237771,2.732514298615059e-09,177.01616716384888
246656,4.105446093816607e-09,201.49389672279358
255542,4.160022767111161e-09,226.31170678138733
264427,5.414484921549214e-09,252.2739405632019
273297,6.485288077360149e-09,279.9109652042389
282198,8.4904789708475e-09,307.5769283771515
291080,9.207449745437895e-09,336.79180693626404
299980,9.959559415705087e-09,367.6304349899292
308862,1.150865014004354e-08,399.62507700920105
317746,1.3257031541128283e-08,433.54150128364563
326635,1.5792129124452997e-08,466.37401032447815
335532,1.620547056020528e-08,500.40866780281067
344403,1.945346837709133e-08,535.2466788291931
353286,2.0419699727035477e-08,573.2833666801453
362185,2.287031211744614e-08,610.9886567592621
371077,2.4960005542818303e-08,648.8570735454559
379962,2.679383697286723e-08,687.6078951358795
388854,2.9359559656931677e-08,728.1987817287445
397740,3.0920661067990895e-08,770.1686856746674
406631,3.446687038855495e-08,816.0362505912781
415519,3.7642519408591995e-08,859.7489528656006
424401,3.827105967654592e-08,906.5806043148041
433294,4.083538569153197e-08,954.090292930603
442165,4.436867397517223e-08,1003.1234986782074
451053,4.7485064659319255e-08,1051.7869057655334
459958,5.009285379668147e-08,1101.2777168750763
468844,5.140589113687035e-08,1151.8970935344696
477733,5.372385454505587e-08,1205.6920676231384
486619,5.678996902525684e-08,1261.33837723732
495516,5.95287082012831e-08,1316.8186717033386
504406,6.228014380562973e-08,1374.3737082481384
513293,6.508461124592198e-08,1433.7395868301392
522185,6.814300166320456e-08,1491.0932087898254
531074,6.971096602587666e-08,1550.6056492328644
539965,7.210243905270285e-08,1610.4493038654327
548838,7.486418469893296e-08,1676.664663553238
557730,8.032836202882464e-08,1744.2115285396576
566613,8.194328717758582e-08,1809.888564825058
575504,8.433488945928337e-08,1878.4272496700287
584401,8.464557654511748e-08,1948.5234096050262
593288,8.687981847506001e-08,2020.198354959488
602169,9.12118131927982e-08,2091.1253259181976
611051,9.430540750635652e-08,2165.3332047462463
619953,9.809182123813106e-08,2240.823265314102
628848,9.925483066483517e-08,2320.289127111435
637731,1.0130654392965789e-07,2397.522654056549
